,E2023 Rent,Rent % Growth,,Rent,,,
Date,2022-2H,2022-2H,2023-1H,2021-2H,2022-1H,2022-2H,2023-1H
Home Style,,,,,,,
3 Bd 2 Ba <1600 sqft,"$2,536.54 ",14.16%,4.15%,"$1,946.25 ","$2,110.02 ","$2,221.88 ","$2,197.69 "
3 Bd 2 Ba >1600 sqft,"$2,446.16 ",10.59%,,"$2,000.00 ","$2,222.81 ","$2,211.86 ",
4 Bd 2 Ba >1600 sqft,"$2,318.57 ",2.03%,,"$2,227.26 ","$2,317.43 ","$2,272.46 ",
4 Bd 2.5 Ba >1600 sqft,,,,,"$2,403.75 ","$2,422.86 ",
4 Bd 3 Ba >1600 sqft,"$2,961.11 ",12.35%,,"$2,346.07 ","$2,396.36 ","$2,635.71 ",
5 Bd 3.5 Ba >1600 sqft,,,,"$2,580.00 ","$2,743.44 ",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,0.123457527,,,
